artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
Haley Blais,3tuRHWsFOEBnXw5nuBp0qk,After That,0.391,0.303,138118,0.281,0.026000000000000002,2,0.10099999999999999,-17.578,1,0.036000000000000004,139.94299999999998,4,0.0759,19
The Relaxation Principle,3VJSRUVzA3KGyHBLuWUxdX,Dawn of Language,0.97,0.253,97000,0.192,0.9490000000000001,7,0.11,-14.532,1,0.0386,119.691,4,0.0394,31
The Relaxation Principle,5sQIdjjVhQNLflyU0K8qea,Ripples of Moonlight,0.937,0.22899999999999998,98913,0.46,0.951,0,0.13,-10.677,0,0.0686,67.574,4,0.0354,31
Celtic Woman,5xDSMmBxh6SVyryjqI50VY,Westering Home - Live 2017,0.435,0.56,250657,0.402,0.0,5,0.9129999999999999,-9.038,1,0.0287,113.322,4,0.293,20
Celtic Woman,6uBB3J7gCryivdEmlq4q7k,You Raise Me Up - Live 2017,0.838,0.258,247427,0.272,3.41e-06,2,0.667,-11.63,1,0.0366,115.806,4,0.0834,21
Starkill,5GY893p4DLbTHm6lQ6j0RO,The Pretender,0.00599,0.44799999999999995,234863,0.917,0.0537,0,0.0841,-4.9319999999999995,1,0.0599,91.993,4,0.304,32
Joseph Ashworth,2QPiRpImUMAbBvtgQGydqr,Carmine - Radio Edit,0.0706,0.555,263852,0.708,0.8340000000000001,1,0.10800000000000001,-8.779,1,0.0569,123.98899999999999,3,0.22399999999999998,26
Kollision,56JjsI1brGVPwco8SFrMFC,Flossin,0.007109999999999999,0.8320000000000001,129933,0.616,0.0,0,0.139,-7.225,1,0.249,150.02,4,0.223,20
Young Galaxy,6CLsGY7joje161UmoZDmNx,Frontier,0.18899999999999997,0.45299999999999996,541059,0.39299999999999996,0.684,1,0.113,-12.955,0,0.0445,143.993,4,0.121,16
Mark Battles,2rxVMICs3kE7pXT9u4zIJy,The Moon (feat. 12Fifteen),0.121,0.5820000000000001,262661,0.594,0.0,1,0.134,-8.2,1,0.268,136.192,4,0.26,17
Shenseea,15mWTLec24V5ZC5XZWfBnr,The Way I Move,0.44799999999999995,0.642,238564,0.809,0.0,2,0.0975,-4.2010000000000005,1,0.12,100.055,4,0.61,29
Fabvl,6CmYCpoeWIdl7QOugoBILW,The Violence,0.000889,0.594,268122,0.867,0.0,2,0.1,-6.886,1,0.0541,80.047,4,0.418,21
Audio Dope,7IxEmXbxghuV6UlMxqpJDo,Dawn,0.701,0.483,215000,0.762,9.14e-05,1,0.109,-5.723,0,0.624,82.795,4,0.185,26
Whale and the Wolf,0XRLGllgbPB6kdDDAclPZ7,So It Goes,0.00045099999999999996,0.391,181867,0.7090000000000001,0.000129,6,0.0848,-5.186,0,0.0293,129.503,4,0.6509999999999999,24
